Time [s],LRCK_out,DATA_out
0.006590020,0,0
0.006590180,0,1
0.006590340,0,0
0.006590500,0,1
0.006590660,0,0
0.006591160,1,0
0.006592120,1,1
0.006592300,1,0
0.006592460,1,1
0.006592620,1,0
0.006592780,1,1
0.006592940,1,0
0.006593260,1,1
0.006593760,0,1
0.006594900,0,0
0.006595220,0,1
0.006595880,0,0
0.006596360,1,1
0.006597500,1,0
0.006597820,1,1
0.006598480,1,0
0.006598960,1,1
0.006598980,0,1
0.006599940,0,0
0.006600260,0,1
0.006600440,0,0
0.006600920,0,1
0.006601400,0,0
0.006601580,1,0
0.006601720,1,1
0.006602540,1,0
0.006602860,1,1
0.006603040,1,0
0.006603520,1,1
0.006603840,1,0
0.006604000,1,1
0.006604180,0,1
0.006605640,0,0
0.006605800,0,1
0.006606620,0,0
0.006606780,1,1
0.006608240,1,0
0.006608400,1,1
0.006609380,0,0
0.006610360,0,1
0.006610680,0,0
0.006610840,0,1
0.006611000,0,0
0.006611160,0,1
0.006611340,0,0
0.006611980,1,0
0.006612960,1,1
0.006613280,1,0
0.006613440,1,1
0.006613620,1,0
0.006613780,1,1
0.006613940,1,0
0.006614600,0,0
0.006615720,0,1
0.006616700,0,0
0.006617200,1,0
0.006618340,1,1
0.006619140,1,0
0.006619300,1,1
0.006619800,0,1
0.006620780,0,0
0.006620940,0,1
0.006621260,0,0
0.006621420,0,1
0.006621760,0,0
0.006621920,0,1
0.006622080,0,0
0.006622240,0,1
0.006622400,1,1
0.006623380,1,0
0.006623540,1,1
0.006623860,1,0
0.006624020,1,1
0.006624360,1,0
0.006624520,1,1
0.006624680,1,0
0.006624840,1,1
0.006625020,0,1
0.006625980,0,0
0.006626300,0,1
0.006626640,0,0
0.006626800,0,1
0.006627120,0,0
0.006627620,1,0
0.006627780,1,1
0.006628580,1,0
0.006628900,1,1
0.006629240,1,0
0.006629400,1,1
0.006629720,1,0
0.006630220,0,1
0.006630380,0,0
0.006631520,0,1
0.006631680,0,0
0.006631840,0,1
0.006632000,0,0
0.006632160,0,1
0.006632340,0,0
0.006632820,1,1
0.006632980,1,0
0.006634120,1,1
0.006634280,1,0
0.006634440,1,1
0.006634620,1,0
0.006634760,1,1
0.006634940,1,0
0.006635420,0,1
0.006635580,0,0
0.006636400,0,1
0.006636720,0,0
0.006636880,0,1
0.006638020,0,0
0.006638040,1,0
0.006639000,1,1
0.006639340,1,0
0.006639480,1,1
0.006640640,0,0
0.006641760,0,1
0.006641940,0,0
0.006642260,0,1
0.006642420,0,0
0.006642740,0,1
0.006643240,1,0
0.006644380,1,1
0.006644540,1,0
0.006644860,1,1
0.006645020,1,0
0.006645340,1,1
0.006645840,0,1
0.006646820,0,0
0.006646980,0,1
0.006647140,0,0
0.006647620,0,1
0.006647960,0,0
0.006648280,0,1
0.006648440,1,0
0.006648600,1,1
0.006649420,1,0
0.006649580,1,1
0.006649740,1,0
0.006650240,1,1
0.006650560,1,0
0.006650880,1,1
0.006651040,1,0
0.006651060,0,0
0.006651200,0,1
0.006652020,0,0
0.006652180,0,1
0.006652360,0,0
0.006652520,0,1
0.006652680,0,0
0.006652840,0,1
0.006653160,0,0
0.006653660,1,0
0.006653820,1,1
0.006654620,1,0
0.006654780,1,1
0.006654960,1,0
0.006655120,1,1
0.006655280,1,0
0.006655440,1,1
