Time [s],LRCK_out,DATA_out,DATA_in
0.017826080,1,1,1
0.017827230,1,1,0
0.017827930,1,1,1
0.017828650,1,1,0
0.017828750,0,1,0
0.017828920,0,0,0
0.017829000,0,0,1
0.017830420,0,0,0
0.017831480,0,0,1
0.017831580,1,0,1
0.017831840,1,0,0
0.017834420,0,0,0
0.017834670,0,0,1
0.017835020,0,0,0
0.017835730,0,0,1
0.017837250,1,0,1
0.017837420,1,1,1
0.017838570,1,1,0
0.017839270,1,1,1
0.017839980,1,1,0
0.017840090,0,1,0
0.017840330,0,1,1
0.017841760,0,1,0
0.017842920,1,1,0
0.017843090,1,0,0
0.017845760,0,0,0
0.017846000,0,0,1
0.017846360,0,0,0
0.017847070,0,0,1
0.017847430,0,0,0
0.017847780,0,0,1
0.017848130,0,0,0
0.017848480,0,0,1
0.017848590,1,0,1
0.017849200,1,0,0
0.017850960,1,0,1
0.017851320,1,0,0
0.017851430,0,0,0
0.017852380,0,0,1
0.017853090,0,0,0
0.017853440,0,0,1
0.017853800,0,0,0
0.017854260,1,0,0
0.017857090,0,0,0
0.017857260,0,1,0
0.017857340,0,1,1
0.017857700,0,1,0
0.017858400,0,1,1
0.017858760,0,1,0
0.017859110,0,1,1
0.017859470,0,1,0
0.017859820,0,1,1
0.017859930,1,1,1
0.017860100,1,0,1
0.017860530,1,0,0
0.017862300,1,0,1
0.017862660,1,0,0
0.017862760,0,0,0
0.017863720,0,0,1
0.017864430,0,0,0
0.017864780,0,0,1
0.017865140,0,0,0
0.017865600,1,0,0
0.017868430,0,0,0
0.017868680,0,0,1
0.017869040,0,0,0
0.017870100,0,0,1
0.017870810,0,0,0
0.017871160,0,0,1
0.017871260,1,1,1
0.017871440,1,0,1
0.017871520,1,0,0
0.017871870,1,0,1
0.017872230,1,0,0
0.017873290,1,0,1
0.017873640,1,0,0
0.017873990,1,0,1
0.017874100,0,0,1
0.017875420,0,0,0
0.017875770,0,0,1
0.017876480,0,0,0
0.017876930,1,0,0
0.017879770,0,0,0
0.017880020,0,0,1
0.017880380,0,0,0
0.017881430,0,0,1
0.017882150,0,0,0
0.017882500,0,0,1
0.017882600,1,0,1
0.017882860,1,0,0
0.017883210,1,0,1
0.017883560,1,0,0
0.017884620,1,0,1
0.017884980,1,0,0
0.017885330,1,0,1
0.017885440,0,0,1
0.017886750,0,0,0
0.017887100,0,0,1
0.017887820,0,0,0
0.017888270,1,0,0
0.017891100,1,1,0
0.017891110,0,1,0
0.017891280,0,0,0
0.017891360,0,0,1
0.017891710,0,0,0
0.017893130,0,0,1
0.017893940,1,0,1
0.017894190,1,0,0
0.017894540,1,0,1
0.017894900,1,0,0
0.017895250,1,0,1
0.017896320,1,0,0
0.017896780,0,0,0
0.017897020,0,0,1
0.017897740,0,0,0
0.017898090,0,0,1
0.017898450,0,0,0
0.017898800,0,0,1
0.017899150,0,0,0
0.017899610,1,0,0
0.017902450,0,0,0
0.017902690,0,0,1
0.017903050,0,0,0
0.017904460,0,0,1
0.017905280,1,0,1
0.017905530,1,0,0
0.017905880,1,0,1
0.017906240,1,0,0
0.017906590,1,0,1
0.017907660,1,0,0
0.017908110,0,0,0
0.017908360,0,0,1
0.017909070,0,0,0
0.017909420,0,0,1
0.017909780,0,0,0
0.017910130,0,0,1
0.017910490,0,0,0
0.017910950,1,0,0
0.017913780,0,0,0
0.017914030,0,0,1
0.017914390,0,0,0
0.017916160,0,0,1
0.017916610,1,1,1
0.017916790,1,0,1
0.017917930,1,0,0
0.017918640,1,0,1
0.017919000,1,0,0
0.017919350,1,0,1
0.017919450,0,0,1
0.017920060,0,0,0
0.017920760,0,0,1
0.017921120,0,0,0
0.017921470,0,0,1
0.017922180,0,0,0
0.017922280,1,0,0
0.017925120,0,0,0
0.017925370,0,0,1
0.017925730,0,0,0
0.017927490,0,0,1
0.017927950,1,0,1
0.017929270,1,0,0
0.017929970,1,0,1
0.017930330,1,0,0
0.017930680,1,0,1
0.017930790,0,0,1
0.017931400,0,0,0
0.017932100,0,0,1
0.017932460,0,0,0
0.017932810,0,0,1
0.017933520,0,0,0
0.017933620,1,0,0
0.017933790,1,1,0
0.017936460,0,1,0
0.017936630,0,0,0
0.017936710,0,0,1
0.017937060,0,0,0
0.017938830,0,0,1
0.017939190,0,0,0
0.017939290,1,0,0
0.017939540,1,0,1
0.017940960,1,0,0
0.017941670,1,0,1
0.017942030,1,0,0
0.017942130,0,0,0
0.017943080,0,0,1
0.017943440,0,0,0
0.017943790,0,0,1
0.017944510,0,0,0
0.017944960,1,0,0
0.017945130,1,1,0
0.017947800,0,1,0
0.017947970,0,0,0
0.017948040,0,0,1
0.017948400,0,0,0
0.017950170,0,0,1
0.017950530,0,0,0
0.017950630,1,0,0
0.017950800,1,1,0
0.017950880,1,1,1
0.017952300,1,1,0
0.017953000,1,1,1
0.017953360,1,1,0
0.017953470,0,1,0
0.017954420,0,1,1
0.017954780,0,1,0
0.017955130,0,1,1
0.017955840,0,1,0
0.017956190,0,1,1
0.017956300,1,1,1
0.017956550,1,1,0
0.017959130,0,1,0
0.017959310,0,0,0
0.017959380,0,0,1
0.017959740,0,0,0
0.017961150,0,0,1
0.017961510,0,0,0
0.017961970,1,0,0
0.017962220,1,0,1
0.017962580,1,0,0
0.017963990,1,0,1
0.017964800,0,0,1
0.017965410,0,0,0
0.017966820,0,0,1
0.017967540,0,0,0
0.017967640,1,0,0
0.017970460,1,1,0
0.017970470,0,1,0
0.017970720,0,1,1
0.017971080,0,1,0
0.017972490,0,1,1
0.017972850,0,1,0
0.017973300,1,1,0
0.017973480,1,0,0
0.017973550,1,0,1
0.017973910,1,0,0
0.017975330,1,0,1
0.017976130,1,1,1
0.017976140,0,1,1
0.017976750,0,1,0
0.017978160,0,1,1
0.017978870,0,1,0
0.017978970,1,1,0
0.017979150,1,0,0
0.017981810,0,0,0
0.017982060,0,0,1
0.017982420,0,0,0
0.017983470,0,0,1
0.017983830,0,0,0
0.017984640,1,0,0
0.017984810,1,1,0
0.017984890,1,1,1
0.017985250,1,1,0
0.017985960,1,1,1
0.017987020,1,1,0
0.017987370,1,1,1
0.017987480,0,1,1
0.017987650,0,0,1
0.017987730,0,0,0
0.017988080,0,0,1
0.017988790,0,0,0
0.017989140,0,0,1
0.017989500,0,0,0
0.017989850,0,0,1
0.017990310,1,0,1
0.017990570,1,0,0
0.017993150,0,0,0
0.017993400,0,0,1
0.017993750,0,0,0
0.017994810,0,0,1
0.017995170,0,0,0
0.017995970,0,1,0
0.017995980,1,1,0
0.017996150,1,0,0
0.017996230,1,0,1
0.017996590,1,0,0
0.017997290,1,0,1
0.017998360,1,0,0
0.017998710,1,0,1
0.017998820,0,0,1
0.017999070,0,0,0
0.017999420,0,0,1
0.018000130,0,0,0
0.018000480,0,0,1
0.018000840,0,0,0
0.018001190,0,0,1
0.018001550,0,0,0
0.018001640,0,1,0
0.018001650,1,1,0
0.018001820,1,0,0
0.018004490,0,0,0
0.018004730,0,0,1
0.018005090,0,0,0
0.018006150,0,0,1
0.018007320,1,0,1
0.018007570,1,0,0
0.018008630,1,0,1
0.018010050,1,0,0
0.018010150,1,1,0
0.018010160,0,1,0
0.018010330,0,0,0
0.018010400,0,0,1
0.018010760,0,0,0
0.018011110,0,0,1
0.018011470,0,0,0
0.018011820,0,0,1
0.018012180,0,0,0
0.018012530,0,0,1
0.018012980,0,1,1
0.018012990,1,1,1
0.018013160,1,0,1
0.018013240,1,0,0
0.018015820,0,0,0
0.018016070,0,0,1
0.018016430,0,0,0
0.018017490,0,0,1
0.018018660,1,0,1
0.018018910,1,0,0
0.018019970,1,0,1
0.018021390,1,0,0
0.018021490,0,0,0
0.018021740,0,0,1
0.018022100,0,0,0
0.018022450,0,0,1
0.018022810,0,0,0
0.018023160,0,0,1
0.018023520,0,0,0
0.018023870,0,0,1
